@context,@type,name,description,image
https://schema.org,Person,Tim Burchett,US politician in the state of TN,https://db0prh5pvbqwd.cloudfront.net/all/images/ae4bf86c-c4ea-44b4-8d86-d5ac7c68dbc1.jpg
https://schema.org,Person,Niraj Antani,US politician in the state of OH,https://db0prh5pvbqwd.cloudfront.net/admin-uploads/production/person_profile_picture_urls/Niraj-Antani.jpg
https://schema.org,Person,Scott Perry,US politician in the state of PA,https://db0prh5pvbqwd.cloudfront.net/all/images/b4478dd5-526d-40bf-8aba-28130fc324f7.jpg
https://schema.org,Person,John Duarte,US politician in the state of CA,https://db0prh5pvbqwd.cloudfront.net/all/images/e0d1feb6-84bb-4f0e-ab76-a4cf1d86bfe3.jpg
https://schema.org,Person,Brian Jack,US politician in the state of GA,https://db0prh5pvbqwd.cloudfront.net/admin-uploads/production/person_profile_picture_urls/20240617-015724-BrianJackHeadshot.jpeg
https://schema.org,Person,Dan Meuser,US politician in the state of PA,https://db0prh5pvbqwd.cloudfront.net/all/images/905412a0-5f07-4108-961a-9f25f7ab5648.jpg
https://schema.org,Person,Jason Smith,US politician in the state of MO,https://db0prh5pvbqwd.cloudfront.net/all/images/612a1cc4-7f44-424d-b2dd-5582315e7117.jpg
https://schema.org,Person,Shri Thanedar,US politician in the state of MI,https://db0prh5pvbqwd.cloudfront.net/all/images/f1fb8c43-3f6e-4f4d-9b46-1d3200a047a7.jpg
https://schema.org,Person,Rudy Yakym,US politician in the state of IN,https://db0prh5pvbqwd.cloudfront.net/all/images/489b5db2-ed1f-45a2-8e20-62cdfd4d66e7.jpg
https://schema.org,Person,Julia Letlow,US politician in the state of LA,https://db0prh5pvbqwd.cloudfront.net/all/images/a0a973a2-c9ed-4bbd-aa44-d8a935c3b820.jpg
https://schema.org,Person,Troy Nehls,US politician in the state of TX,https://db0prh5pvbqwd.cloudfront.net/all/images/4ec21674-7c9f-4f3b-b602-ad1a0ed10a14.jpg
https://schema.org,Person,Jay Obernolte,US politician in the state of CA,https://db0prh5pvbqwd.cloudfront.net/all/images/949dfd55-ab27-40dd-971b-e4e1556bbfb2.jpg
https://schema.org,Person,Dan Bishop,US politician in the state of NC,https://db0prh5pvbqwd.cloudfront.net/all/images/49c09991-bcae-4a91-a93b-d91696cecafd.jpg
https://schema.org,Person,Ralph Norman,US politician in the state of SC,https://db0prh5pvbqwd.cloudfront.net/all/images/a7856da0-2033-4fde-8a98-a207744a5161.jpg
https://schema.org,Person,Virginia Foxx,US politician in the state of NC,https://db0prh5pvbqwd.cloudfront.net/all/images/7b101e1d-8030-4365-8c1b-31a1f68dfea3.jpg
https://schema.org,Person,Joe Wilson,US politician in the state of SC,https://db0prh5pvbqwd.cloudfront.net/all/images/c6117073-2dbd-45d6-87e1-4a9a4af3a058.jpg
https://schema.org,Person,Chuck Edwards,US politician in the state of NC,https://db0prh5pvbqwd.cloudfront.net/all/images/d5a0d675-28f8-4fb2-9e9c-eed4ae499683.jpg
https://schema.org,Person,John Rose,US politician in the state of TN,https://db0prh5pvbqwd.cloudfront.net/all/images/45a198f0-5018-4eff-8a39-7bfca055a946.jpg
https://schema.org,Person,Sam Liccardo,US politician in the state of CA,https://db0prh5pvbqwd.cloudfront.net/admin-uploads/production/person_profile_picture_urls/SamLiccaro12.jpeg
https://schema.org,Person,Daniel Webster,US politician in the state of FL,https://db0prh5pvbqwd.cloudfront.net/all/images/7e8d80a7-392b-442f-9a66-47812c542bd0.jpg
https://schema.org,Person,Nancy Pelosi,US politician in the state of CA,https://db0prh5pvbqwd.cloudfront.net/all/images/e595b6f2-bf9c-4c3e-b3d7-bc49c3743946.jpg
https://schema.org,Person,Mariannette Miller-Meeks,US politician in the state of IA,https://db0prh5pvbqwd.cloudfront.net/all/images/6984adba-dce3-4b90-817a-ac8539cdcc92.jpg
https://schema.org,Person,Ted Budd,US politician in the state of NC,https://db0prh5pvbqwd.cloudfront.net/all/images/3d15c36d-f464-484b-b0f3-b2dd443c6d56.jpg
https://schema.org,Person,Jeff Jackson,US politician in the state of NC,https://db0prh5pvbqwd.cloudfront.net/all/images/f9d97c0b-5612-4a28-bfbd-dc0c3f0a258d.jpg
https://schema.org,Person,John Rutherford,US politician in the state of FL,https://db0prh5pvbqwd.cloudfront.net/all/images/93f2cada-8fd9-40e8-9f1b-7e1d24a11fc8.jpg
https://schema.org,Person,Lauren Boebert,US politician in the state of CO,https://db0prh5pvbqwd.cloudfront.net/all/images/87422029-079f-4caf-813a-c17225b4d7d7.jpg
https://schema.org,Person,Lloyd Smucker,US politician in the state of PA,https://db0prh5pvbqwd.cloudfront.net/all/images/5e997a9a-be0b-4065-b0b6-3874cfa285f8.jpg
https://schema.org,Person,Dan Crenshaw,US politician in the state of TX,https://db0prh5pvbqwd.cloudfront.net/all/images/013be166-cec6-44fa-bee1-c28c8eb8d99c.jpg
https://schema.org,Person,Jerry Moran,US politician in the state of KS,https://db0prh5pvbqwd.cloudfront.net/all/images/5f0be35c-c518-4b96-8a07-6da6c672d28a.jpg
https://schema.org,Person,Mike Turner,US politician in the state of OH,https://db0prh5pvbqwd.cloudfront.net/all/images/1d2417b8-6d2e-4d87-9e30-1e716c51d137.jpg
https://schema.org,Person,Guy Reschenthaler,US politician in the state of PA,https://db0prh5pvbqwd.cloudfront.net/all/images/62206e29-2d90-4e59-b33d-4cb93e4c50ca.jpg
https://schema.org,Person,Randy Feenstra,US politician in the state of IA,https://db0prh5pvbqwd.cloudfront.net/all/images/91c942c3-173d-4763-a428-200126a09823.jpg
https://schema.org,Person,Zoe Lofgren,US politician in the state of CA,https://db0prh5pvbqwd.cloudfront.net/all/images/85de5296-bcf8-4da1-a01f-8e21936cc887.jpg
https://schema.org,Person,Mike Flood,US politician in the state of NE,https://db0prh5pvbqwd.cloudfront.net/all/images/2db76626-6afc-4e5c-8dfb-4a46b988eb5d.jpeg
https://schema.org,Person,Mitch McConnell,US politician in the state of KY,https://db0prh5pvbqwd.cloudfront.net/all/images/96f22b31-617a-490d-84fd-1ff1fd813749.jpg
https://schema.org,Person,Michael Cloud,US politician in the state of TX,https://db0prh5pvbqwd.cloudfront.net/all/images/2d7d3adf-8754-468a-a37e-7fcd157d24ef.jpg
https://schema.org,Person,Drew Ferguson,US politician in the state of GA,https://db0prh5pvbqwd.cloudfront.net/all/images/7a6d0c6b-d647-4672-9bfd-14f7e8560835.jpeg
https://schema.org,Person,Jerry Carl,US politician in the state of AL,https://db0prh5pvbqwd.cloudfront.net/all/images/26c55251-3119-400b-afc7-5e067d43f5da.jpg
https://schema.org,Person,Mike Collins,US politician in the state of GA,
https://schema.org,Person,Susie Lee,US politician in the state of NV,https://db0prh5pvbqwd.cloudfront.net/all/images/a8453f9d-b177-4af7-93a4-574073c90fa3.jpg
https://schema.org,Person,Jeff Duncan,US politician in the state of SC,https://db0prh5pvbqwd.cloudfront.net/all/images/abe4d551-c750-4db6-bb72-c7362e9205fc.jpg
https://schema.org,Person,John Moolenaar,US politician in the state of MI,https://db0prh5pvbqwd.cloudfront.net/all/images/3f12a005-d2a0-4466-ab19-d678eff5ed05.jpg
https://schema.org,Person,Vikram Mansharamani,US politician in the state of NH,https://db0prh5pvbqwd.cloudfront.net/admin-uploads/production/person_profile_picture_urls/20240426-135313-vikram-on-stairs-SOURCE.jpeg
https://schema.org,Person,Markwayne Mullin,US politician in the state of OK,https://db0prh5pvbqwd.cloudfront.net/all/images/c802b853-ec91-4c9a-a725-b95d13084e4c.jpg
https://schema.org,Person,Burgess Owens,US politician in the state of UT,https://db0prh5pvbqwd.cloudfront.net/all/images/f3af2b8f-9bdd-4145-9687-9df930e1ede5.jpg
https://schema.org,Person,Byron Donalds,US politician in the state of FL,https://db0prh5pvbqwd.cloudfront.net/all/images/224c2de2-ab4f-435e-b161-83513169a92e.jpg
https://schema.org,Person,Doug Lamborn,US politician in the state of CO,https://db0prh5pvbqwd.cloudfront.net/all/images/779cbc16-1c69-40ad-b6de-d91d648b4f51.jpg
https://schema.org,Person,Russell Fry,US politician in the state of SC,https://db0prh5pvbqwd.cloudfront.net/all/images/d6e5c325-fc97-424e-a148-0c0814cf7565.jpg
https://schema.org,Person,Blake Moore,US politician in the state of UT,https://db0prh5pvbqwd.cloudfront.net/all/images/8830e772-383c-4caf-9ed1-2a21ab0aeac6.jpg
https://schema.org,Person,Jared Moskowitz,US politician in the state of FL,https://db0prh5pvbqwd.cloudfront.net/all/images/8b9ddee2-6c65-4952-9f35-5a5599621485.jpg
https://schema.org,Person,Tommy Tuberville,US politician in the state of AL,https://db0prh5pvbqwd.cloudfront.net/all/images/73775b5c-a540-4287-a3c3-53826286173e.jpg
https://schema.org,Person,Greg Stanton,US politician in the state of AZ,https://db0prh5pvbqwd.cloudfront.net/all/images/da77d0a7-90bc-4eb0-aba3-bde509095098.jpg
https://schema.org,Person,Ann Wagner,US politician in the state of MO,https://db0prh5pvbqwd.cloudfront.net/all/images/097c42d3-c4b7-45fe-acc9-b2ccedc8280d.jpg
https://schema.org,Person,Rob Wittman,US politician in the state of VA,https://db0prh5pvbqwd.cloudfront.net/all/images/5b427c3c-435d-4e95-a097-b7fcb660a396.jpeg
https://schema.org,Person,Marc Molinaro,US politician in the state of NY,https://db0prh5pvbqwd.cloudfront.net/all/images/d4a7e8b4-e609-419f-bf73-a296a3e97a8d.jpg
https://schema.org,Person,Josh Gottheimer,US politician in the state of NJ,https://db0prh5pvbqwd.cloudfront.net/all/images/e02a0010-5d3c-497e-b798-06cf624b902e.jpg
https://schema.org,Person,Garret Graves,US politician in the state of LA,https://db0prh5pvbqwd.cloudfront.net/all/images/bd6b3d65-1907-4471-8e2f-59cd8fdf3a0f.jpg
https://schema.org,Person,Ron Johnson,US politician in the state of WI,https://db0prh5pvbqwd.cloudfront.net/all/images/f24d8068-c6d8-4cd3-be5b-5c972cad4732.jpg
https://schema.org,Person,David Valadao,US politician in the state of CA,https://db0prh5pvbqwd.cloudfront.net/all/images/6a45d25b-606c-4ae3-8087-a21b07d61c0b.jpg
https://schema.org,Person,Mónica De La Cruz,US politician in the state of TX,
https://schema.org,Person,John Curtis,US politician in the state of UT,https://db0prh5pvbqwd.cloudfront.net/all/images/adc68b0e-39e1-430d-8277-5ea91f483711.jpg
https://schema.org,Person,Greg Murphy,US politician in the state of NC,https://db0prh5pvbqwd.cloudfront.net/all/images/2b727600-19c0-4bd4-80c6-7582e9aeea3a.jpg
https://schema.org,Person,Neal Dunn,US politician in the state of FL,https://db0prh5pvbqwd.cloudfront.net/all/images/3374d474-70a7-4488-a8bc-3bd53f74096b.jpg
